Store,Date,Weekly_Sales_in_Million
4,2010-02-05,2.14
4,2010-02-12,2.19
4,2010-02-19,2.05
4,2010-02-26,1.93
4,2010-03-05,1.97
4,2010-03-12,1.89
4,2010-03-19,1.9
4,2010-03-26,1.76
4,2010-04-02,1.98
4,2010-04-09,1.82
4,2010-04-16,1.85
4,2010-04-23,1.8
4,2010-04-30,1.82
4,2010-05-07,2.0
4,2010-05-14,1.88
4,2010-05-21,1.9
4,2010-05-28,1.86
4,2010-06-04,1.9
4,2010-06-11,1.87
4,2010-06-18,1.93
4,2010-06-25,1.85
4,2010-07-02,1.88
4,2010-07-09,1.81
4,2010-07-16,1.9
4,2010-07-23,1.85
4,2010-07-30,1.8
4,2010-08-06,1.91
4,2010-08-13,2.01
4,2010-08-20,2.0
4,2010-08-27,1.85
4,2010-09-03,1.94
4,2010-09-10,1.87
4,2010-09-17,1.9
4,2010-09-24,1.81
4,2010-10-01,1.84
4,2010-10-08,1.95
4,2010-10-15,1.87
4,2010-10-22,1.93
4,2010-10-29,1.93
4,2010-11-05,2.01
4,2010-11-12,2.0
4,2010-11-19,2.1
4,2010-11-26,2.79
4,2010-12-03,2.1
4,2010-12-10,2.3
4,2010-12-17,2.74
4,2010-12-24,3.53
4,2010-12-31,1.79
4,2011-01-07,1.86
4,2011-01-14,1.87
4,2011-01-21,1.89
4,2011-01-28,1.81
4,2011-02-04,2.12
4,2011-02-11,2.19
4,2011-02-18,2.32
4,2011-02-25,2.08
4,2011-03-04,2.1
4,2011-03-11,2.04
4,2011-03-18,2.12
4,2011-03-25,1.94
4,2011-04-01,1.9
4,2011-04-08,2.07
4,2011-04-15,1.96
4,2011-04-22,2.22
4,2011-04-29,1.88
4,2011-05-06,2.06
4,2011-05-13,2.0
4,2011-05-20,2.02
4,2011-05-27,1.99
4,2011-06-03,2.07
4,2011-06-10,2.07
4,2011-06-17,2.14
4,2011-06-24,2.01
4,2011-07-01,2.05
4,2011-07-08,2.07
4,2011-07-15,2.05
4,2011-07-22,2.04
4,2011-07-29,1.99
4,2011-08-05,2.16
4,2011-08-12,2.11
4,2011-08-19,2.23
4,2011-08-26,1.99
4,2011-09-02,2.08
4,2011-09-09,2.09
4,2011-09-16,2.08
4,2011-09-23,2.03
4,2011-09-30,1.93
4,2011-10-07,2.17
4,2011-10-14,2.07
4,2011-10-21,2.21
4,2011-10-28,2.15
4,2011-11-04,2.28
4,2011-11-11,2.2
