Store,Year,MonthN,Monthly_Sales_in_Million
1,2010,February,6.31
1,2010,March,5.87
1,2010,April,7.42
1,2010,May,5.93
1,2010,June,6.08
1,2010,July,7.24
1,2010,August,6.08
1,2010,September,5.83
1,2010,October,7.15
1,2010,November,6.49
1,2010,December,8.88
1,2011,January,5.48
1,2011,February,6.4
1,2011,March,6.31
1,2011,April,7.69
1,2011,May,6.13
1,2011,June,6.19
1,2011,July,7.23
1,2011,August,6.14
1,2011,September,7.38
1,2011,October,6.07
1,2011,November,6.86
1,2011,December,9.03
1,2012,January,5.72
1,2012,February,6.8
1,2012,March,8.2
1,2012,April,6.51
1,2012,May,6.45
1,2012,June,8.02
1,2012,July,6.23
1,2012,August,7.9
1,2012,September,6.12
1,2012,October,6.25
2,2010,February,8.26
2,2010,March,7.68
2,2010,April,9.52
2,2010,May,7.78
2,2010,June,8.07
2,2010,July,9.32
2,2010,August,7.72
2,2010,September,7.26
2,2010,October,9.01
2,2010,November,8.47
2,2010,December,12.19
2,2011,January,6.95
2,2011,February,8.01
2,2011,March,7.53
2,2011,April,9.14
2,2011,May,7.16
2,2011,June,7.61
2,2011,July,8.93
2,2011,August,7.35
2,2011,September,8.57
2,2011,October,7.19
2,2011,November,8.4
2,2011,December,11.78
2,2012,January,6.92
2,2012,February,8.1
2,2012,March,9.51
2,2012,April,7.68
2,2012,May,7.76
2,2012,June,9.65
2,2012,July,7.45
2,2012,August,9.56
2,2012,September,7.29
2,2012,October,7.58
3,2010,February,1.71
3,2010,March,1.53
3,2010,April,1.9
3,2010,May,1.48
3,2010,June,1.47
3,2010,July,1.78
3,2010,August,1.46
3,2010,September,1.44
3,2010,October,1.8
3,2010,November,1.75
3,2010,December,2.43
3,2011,January,1.48
3,2011,February,1.7
3,2011,March,1.61
3,2011,April,1.88
3,2011,May,1.53
3,2011,June,1.58
3,2011,July,1.84
3,2011,August,1.54
3,2011,September,1.86
3,2011,October,1.56
3,2011,November,1.82
3,2011,December,2.41
3,2012,January,1.48
3,2012,February,1.79
3,2012,March,2.15
3,2012,April,1.75
3,2012,May,1.7
3,2012,June,2.16
3,2012,July,1.65
3,2012,August,2.03
3,2012,September,1.62
3,2012,October,1.68
4,2010,February,8.3
4,2010,March,7.53
4,2010,April,9.27
4,2010,May,7.64
4,2010,June,7.55
4,2010,July,9.24
4,2010,August,7.76
4,2010,September,7.51
4,2010,October,9.52
4,2010,November,8.9
4,2010,December,12.47
4,2011,January,7.43
4,2011,February,8.7
4,2011,March,8.2
4,2011,April,10.03
4,2011,May,8.07
4,2011,June,8.29
4,2011,July,10.19
4,2011,August,8.49
4,2011,September,10.21
4,2011,October,8.6
4,2011,November,9.73
4,2011,December,13.14
4,2012,January,7.92
4,2012,February,9.2
4,2012,March,10.8
4,2012,April,8.78
4,2012,May,8.69
4,2012,June,10.98
4,2012,July,8.55
4,2012,August,10.86
4,2012,September,8.39
4,2012,October,8.59
5,2010,February,1.2
5,2010,March,1.14
5,2010,April,1.55
5,2010,May,1.24
5,2010,June,1.24
5,2010,July,1.42
5,2010,August,1.17
5,2010,September,1.21
5,2010,October,1.42
5,2010,November,1.41
5,2010,December,1.83
5,2011,January,1.1
5,2011,February,1.29
5,2011,March,1.23
5,2011,April,1.57
5,2011,May,1.21
5,2011,June,1.24
5,2011,July,1.49
5,2011,August,1.22
5,2011,September,1.5
5,2011,October,1.21
5,2011,November,1.48
5,2011,December,1.93
5,2012,January,1.19
5,2012,February,1.35
5,2012,March,1.7
5,2012,April,1.41
5,2012,May,1.37
